Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-28,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,250.0,0.0,0.0
2019-05-29,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-05-30,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-05-31,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-03,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,136.0,0.0,0.0
2019-06-04,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-06,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-07,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,160.0,0.0,0.0
2019-06-10,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,100.0,0.0,0.0
2019-06-11,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-12,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-13,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,45.0,0.0,0.0
2019-06-14,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-17,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-18,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-19,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,15.0,0.0,0.0
2019-06-20,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-21,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-24,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-25,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-26,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-06-27,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,300.0,0.0,0.0
2019-06-28,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-01,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-02,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-03,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-04,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-05,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-08,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,225.0,0.0,0.0
2019-07-09,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-10,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-11,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-12,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-15,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-16,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-17,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-18,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-19,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0
2019-07-22,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,120.0,0.0,0.0
2019-07-23,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0,0.0,0.0
2019-07-24,2.4000000953674316,2.4000000953674316,2.200000047683716,2.4000000953674316,3570.0,0.0,0.0
2019-07-25,2.4000000953674316,2.4000000953674316,2.299999952316284,2.4000000953674316,355.0,0.0,0.0
2019-07-26,2.5,2.5,2.4000000953674316,2.5,145.0,0.0,0.0
2019-07-29,2.5,2.5,2.5,2.5,241.0,0.0,0.0
2019-07-30,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,25.0,0.0,0.0
2019-07-31,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2019-08-01,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2019-08-02,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2019-08-05,2.5,2.5,2.5,2.5,300.0,0.0,0.0
2019-08-06,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-07,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,200.0,0.0,0.0
2019-08-08,2.5,2.5,2.299999952316284,2.5,232.0,0.0,0.0
2019-08-09,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-13,2.5,2.5,2.5,2.5,15.0,0.0,0.0
2019-08-14,2.5,2.5,2.5,2.5,30.0,0.0,0.0
2019-08-16,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-19,2.5,2.5,2.5,2.5,200.0,0.0,0.0
2019-08-20,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-21,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-22,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-23,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-26,2.5,2.5,2.5,2.5,0.0,0.0,0.0
2019-08-27,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,30.0,0.0,0.0
2019-08-28,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-08-29,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-08-30,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-03,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-04,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-05,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-06,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,150.0,0.0,0.0
2019-09-09,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,400.0,0.0,0.0
2019-09-11,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,0.0,0.0,0.0
2019-09-12,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,0.0,0.0,0.0
2019-09-13,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,9723.0,0.0,0.0
2019-09-16,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-17,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-18,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-19,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,0.0,0.0,0.0
2019-09-20,2.549999952316284,2.549999952316284,2.4000000953674316,2.549999952316284,666.0,0.0,0.0
2019-09-23,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2019-09-24,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
